Name,Blurb,Longitude,Latitude,Top Ten -- star emoji,Neighborhood,Tour,Website,"Cuisine: (Filipino, American, Polish, Chinese, Italian, Belgian, French, Mexican)","Tags: (pie, cookies, cake, bread, pastry/classics revisited/GF)",Try:,Hours,Pictures,,,,,Menu,Awards
Kasama,Michelin-starred Filipino restaurant,-87.675578,41.899699,Top Ten,Wicker Park,Wicker Park/West,https://www.kasamachicago.com/,Filipino,"Pie, Cookies, Cake, Bread, Pastries, Classics Revisited, Gluten Free",Mango tart; Cardamom Bun,"Wednesday – Sunday 
9am – 2pm ",https://www.chicagomag.com/wp-content/uploads/2022/03/bnr22-kasama.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeI30kSl94nnkNxcO8dNjhIESOiEMR7uV-Uw&s,https://images.axios.com/6buLZ_2epz--aELtzjhQxVLEfh4=/2023/10/06/1696619782022.jpg,,,"Croissant, Hand Pie, Banana Bread, Fruit Tart, Cheesecake, Macaroon, Muffin, Brioche, Brownie, Cookies, Cardamom Bun, Poundcake, Whoopie Pie, Danish, Ensaymada, Sticky Bun, Basque Cake","James Beard 2023, Michelin 2025, 2025 Best North American restaurants"
Loaf Lounge,Chocolate cake featured in The Bear!,-87.716933,41.934617,Top Ten,Logan Square,Wicker Park/West,https://www.loafloungechicago.com/,American,"Cake, Pastries, Cookies, Bread",Chocolate Cake,"Wednesday – Monday 
8am – 4pm ",https://www.chicagomag.com/wp-content/uploads/2023/01/C202302-T-Loaf-Lounge-chocolate-cake.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa4zmvjUFEBo-6bBw9uDBT2WFA7ieazcZemg&s,https://i0.wp.com/bcc-newspack.s3.amazonaws.com/uploads/2022/08/6-x-4-in-4.png?fit=1800%2C1200&ssl=1,https://www.tastingtable.com/img/gallery/the-16-absolute-best-bakeries-in-chicago-according-to-x/loaf-lounge-1712158517.jpg,,,
Roeser's Bakery,"Locally famous bakery, Chicago's oldest family-owned",-87.707542,41.910429,Top Ten,Humboldt Park,,https://www.roeserscakes.com/,American,"Cake, Cookies, Pastries","Paczki (Polish Donuts), cakes",Tues-Sun 7 am - 6 pm,https://lh4.googleusercontent.com/proxy/zZ7gFKvGp0NYgxGp2YklPvoUL9nrDzTKJ0WRCs3s59Fe9I-75fQgBN_uoU3snMt9n6t59Ee5Sgh5FLKQzdYa20KHx1CFJWgFiJj2UAwqRXFXPHJUCTiUG7PUUyZ91A,https://roeserscakes.com/wp-content/uploads/roesers-bakery-chicago-cakes.png,https://roeserscakes.com/wp-content/uploads/9-3-1024x1024.jpg,https://www.chicagotribune.com/wp-content/uploads/migration/2017/03/31/JHTGOBPDD5BYHENAQGLGKMB5AA.jpg?w=620,,,
Chiu Quon Bakery,Chinatown's oldest bakery,-87.65885,41.973219,Top Ten,Uptown,,http://cqbakery.com/,Chinese,"Pastries, Cakes","Pork buns, sponge cakes, sesame balls, egg tart",Wednesday - Monday 8 am - 6 pm,https://platform.chicago.eater.com/wp-content/uploads/sites/17/chorus/uploads/chorus_asset/file/25928522/54412367535_123c0172bf_h.jpg?quality=90&strip=all&crop=16.65625%2C0%2C66.6875%2C100&w=2400,https://i-p.rmcdn.net/661359c1336b7a00439f9d73/4780328/image-9b15e588-2bee-46c7-8185-97d2b2bc3098.jpg?w=1274&e=webp&cX=362.8169014084507&cY=0&cW=1194.3661971830986&cH=1280,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/93/49/01/chiu-quon-bakery.jpg?w=500&h=-1&s=1,,,,
Sugar Moon Bakery,"Always a line, open Fri-Sun, sells out by 1 pm",-87.717733,41.928425,Top Ten,Logan Square,Wicker Park/West,http://sugarmoonchicago.com/,American,"Cookies, Pastries, Cakes","Cloud cookies, scone, cake",Friday - Sunday 9 am - 2 pm,https://s3-media0.fl.yelpcdn.com/bphoto/KhLQcNLPBYtfcRBU8a14ug/348s.jpg,https://willtravelforsnacks.wordpress.com/wp-content/uploads/2023/03/img_1762.jpg,https://i0.wp.com/bcc-newspack.s3.amazonaws.com/uploads/2021/12/sugar-moon-3.jpg?resize=2000%2C1333&ssl=1,https://s3-media0.fl.yelpcdn.com/bphoto/Lrqq30_kpvaJ-c_wW7aQnw/348s.jpg,,,
Mindy's Bakery,James Beard-awarded pastry chef,-87.678092,41.911087,Top Ten,Wicker Park,Wicker Park/West,http://www.mindysbakery.com/,American,"Pastries, Cakes",Whatever looks good on the rotating menu. Note: they serve babka,Wednesday - Friday 7:30 am - 3 pm; Saturday - Sunday 8 am - 3 pm,https://images.squarespace-cdn.com/content/v1/5ea9ec8fdd995955ed38dcdd/62dda88d-76ca-4e61-acb9-a79b42ed5263/midnys.jpg,https://images.squarespace-cdn.com/content/v1/5ea9ec8fdd995955ed38dcdd/1682701948677-IAZ7LOVUA2QZB8LKXWH8/image-asset.jpeg?format=1500w,https://images.squarespace-cdn.com/content/v1/5ea9ec8fdd995955ed38dcdd/a4036e12-b342-45de-a49c-d684e84de9c4/midnys-32+%281%29.jpg?format=500w,https://images.squarespace-cdn.com/content/v1/5ea9ec8fdd995955ed38dcdd/8a99eb75-8b4f-4f3d-9907-a51e79af49e0/midnys-48+%281%29.jpg,,,
Floriole Café & Bakery,French pastries with local ingredients -- Top 10 Bakery in the US,-87.659205,41.92184,Top Ten,Lincoln Park,,http://floriole.com/,French,"Pastries, Bread","Croissants, Pastries",Tuesday - Sunday 8 am - 2 pm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKTgUsflhGmYawwTyZigxOldADTYtW5NJi4w&s,https://pastryartsmag.com/places/floriole-cafe-bakery/attachment/floriole_20160328-122-edit/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5XKHaEh1GTWdgoPoQp3fzSe_RpQeZqHfqhA&s,,,,
Brown Sugar Bakery,"Southern-style sweet cakes, pies, cakes, cupcakes",-87.617113,41.758563,Top Ten,Grand Crossing,,https://www.brownsugarbakerychicago.com/,Southern US,"Pastries, Cakes","Carmel Cake, German chocolate cake, cupcakes",Tuesday - Saturday 10 am - 6 pm; Sunday 12 pm - 5 pm,,https://i0.wp.com/pam-main-website-media.s3.amazonaws.com/wp-content/uploads/2023/05/06113155/Slice-RedV.jpg?fit=1200%2C800&ssl=1,https://www.brownsugarbakerychicago.com/cdn/shop/files/Artboard24-Final_1024x.png?v=1742500240,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIZR_bieNEkgkgUQMimT2AQSCSSRX4BG7dsw&s,https://media.timeout.com/images/105682535/image.jpg,,
Bang Bang Pie,American-style pies,-87.697014,41.919089,Top Ten,Logan Square,Wicker Park/West,http://bangbangpie.com/,American,Pie,Pies,"Wednesday - Friday 9 am - 6 pm, Saturday-Sunday 9 am - 3 pm",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlEqmVqKH83ucQC2eMOF-yIsHJ7wcWfDaPxw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ69kD3K_cbp3i03Z9Esf-k_a0zLFKkvRWPfg&s,https://media.timeout.com/images/101443895/image.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzb11ei6YSGaQg43Q4C6DB673s118IodSY8A&s,,,Passive House design; Community room; Communal event space; w
D'Amato's Bakery,Legendary Italian bakery,-87.655637,41.891306,Top Ten,West Loop,,https://damatoschicago.com/,Italian,Bread,"Cannoli, cookies","Monday - Friday 7 am - 7 pm, Saturday 7 am  6 pm, Sunday 8 am - 5 pm",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_Ko6kdSD0gZG-UzMxivItuJCPEG6gBptn0A&s,https://damatoschicago.com/wp-content/uploads/2017/10/damatos-bakery-twocanolis.jpg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJUcSOTV2ggWEq9g8R1BmxR7S_5qeCJjMy_Q&s,https://i.ytimg.com/vi/U24ldUWwCqk/maxresdefault.jpg,https://i0.wp.com/diningwithfrankie.com/wp-content/uploads/2022/02/IMG_4828.jpeg?resize=656%2C492&ssl=1,,
